Start Date,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity
06-10-2009,481.49,82.52,228.09,215.87,125.35,47.88,140.61,63.54,165.97,92.23,276.65,142.01,197.47,87,120.32,938.65,1643.6,281.75,289.04,189.06,746.93,1599.25
07-10-2009,474.09,81.65,223.08,210.17,127.05,48.49,141.44,68.13,167.77,92.33,281.75,149.03,197.18,88.3,114.83,948.15,1639.7,280.2,281.59,188.1,745.44,1540.6
08-10-2009,478.23,83.58,227.86,211.59,129.25,50.18,136.79,68.89,168.74,94.58,293.65,149.89,200.38,91.17,113.41,977.9,1668.5,287.45,276.35,192.33,733.69,1510.75
09-10-2009,473.74,83.22,222.85,206.76,128.1,49.96,136.54,71.16,167.57,93.85,293.2,150.22,203.39,88.99,110.69,958.7,1645.55,286.9,272.2,192.15,725.91,1480.3
12-10-2009,489.38,86.12,228.78,217.27,128.9,51.18,139.41,73.4,170.23,94.24,298.25,154.87,207.75,90.38,115.09,962.4,1631.3,290.6,279.93,199.81,736.44,1515.65
13-10-2009,489.38,86.12,228.78,217.27,128.9,51.18,139.41,73.4,170.23,94.24,298.25,154.87,207.75,90.38,115.09,962.4,1631.3,290.6,279.93,199.81,736.44,1515.65
14-10-2009,492.79,86.23,242.74,227.24,135.4,53.59,140.48,72.22,170.22,91.07,302.9,158.6,210.34,91.26,116.73,983,1643.85,293.85,281.98,201.94,751.13,1519.6
15-10-2009,489.93,85.47,239.88,232.87,135,53.91,135.98,70.77,172.23,89.64,294.15,156.32,209.61,91.26,115.38,966.6,1656.4,289.2,277.18,205.49,752.38,1526.05
16-10-2009,500.59,84.13,234.85,244.64,136,53.16,135.53,70.84,171.97,87.56,292.7,156.56,207.65,91.73,114.87,940.6,1643.9,286.55,273.74,206.74,753.42,1515.15
19-10-2009,502.04,83.5,233.45,246.24,135,52.83,136.04,71,170.32,88.06,289.5,157.75,206.79,91.35,115.14,944.6,1652.4,285.25,274.18,205.75,751.22,1522.25
20-10-2009,492.87,83.48,226.4,247.08,141.15,53.96,135.02,69.41,169.13,87.98,287,157.53,201.79,92.32,117.19,933.9,1657.8,280.25,273.54,205.24,743.91,1548.75
